Latitude and Longitude,ndvi_mean,ndvi_max,ndvi_min
"(10.323727047081501, 105.2516346045924)",0.26504445913188585,0.4647722344176884,0.16227100739521844
"(10.322364360592521, 105.27843410554115)",0.20854988514932768,0.37412333406471726,0.12402730255129643
"(10.321455902933202, 105.25254306225168)",0.272846149751613,0.4805014178529183,0.15479854957213895
"(10.324181275911162, 105.25118037576274)",0.2836127070699892,0.46538251293745947,0.16413716414609247
"(10.324635504740822, 105.27389181724476)",0.24712434346847031,0.4135934926329566,0.15564605517914276
"(10.323727047081501, 105.28070524968936)",0.16815035067116751,0.3644298247598536,0.016937873586390262
"(10.325089733570481, 105.23937042619212)",0.30564391499778476,0.5244037863124827,0.1540095108876249
"(10.324181275911162, 105.25390574874059)",0.26367172747177503,0.47763988548479325,0.1548223724853936
"(10.321001674103542, 105.24436694331814)",0.2888388251152448,0.4713383742708589,0.16980225291111822
"(10.321001674103542, 105.2416415703403)",0.3038421405495175,0.4262703163806835,0.17862777835803456
"(10.324635504740822, 105.25572266405916",0.2650176004425316,0.4675860088042971,0.1563107526432362
"(10.321001674103542, 105.2334654514068)",0.28637751549543494,0.4469923290034585,0.17140683608479382
"(10.32327281825184, 105.26753261362978)",0.21623280165942318,0.38671118911859054,0.12901188977372305
"(10.324181275911162, 105.28115947851899)",0.1825615318072344,0.371346196596513,0.0432730399966164
"(10.321001674103542, 105.2598107235259)",0.20336305727861614,0.4324907195285552,0.023995050371095367
"(10.32327281825184, 105.24073311268103)",0.3224491984314847,0.5006239850113938,0.18392131372900603
"(10.324635504740822, 105.27843410554115)",0.182271433476174,0.3506213778354,0.1034886065953666
"(10.324181275911162, 105.2348281378957)",0.30775642750828386,0.48325335260134955,0.19768460959953887
"(10.321455902933202, 105.23301122257715)",0.2867710641569874,0.4575185083736164,0.1680424363687125
"(10.323727047081501, 105.26026495235556)",0.24201346717948202,0.4523331430501997,0.08198237649245732
"(10.325089733570481, 105.28025102085971)",0.17832491739368572,0.3563420895518501,0.07581008943422185
"(10.32009321644422, 105.23210276491787)",0.2788667436276422,0.4339058019454354,0.16852652323210063
"(10.322364360592521, 105.27797987671151)",0.21680935544195395,0.37894778891862735,0.12812742117964293
"(10.32327281825184, 105.27752564788187)",0.21156390586139628,0.36670050826042544,0.12368976889793654
"(10.324635504740822, 105.2652614694816)",0.2155451972812797,0.42452279150193506,0.0874040901627108
"(10.320547445273881, 105.2266520189622)",0.3880042153185539,0.48441572465025245,0.23830047314133246
"(10.323727047081501, 105.2652614694816)",0.22373565670499895,0.4109313958501714,0.12407877775089561
"(10.325089733570481, 105.23528236672536)",0.3169561913501769,0.49928801389531136,0.19673828078916336
"(10.324635504740822, 105.26798684245944)",0.20045452979780312,0.3963024580202987,0.05730606143099052
"(10.32281858942218, 105.26435301182232)",0.23027010088946268,0.4218460984669697,0.12381455344147224
"(10.325089733570481, 105.26344455416304)",0.21741225328202404,0.46001828238952175,0.053994417435931884
"(10.323727047081501, 105.24572962980707)",0.30918083595795476,0.5031739524221929,0.20226607025271906
"(10.324635504740822, 105.2334654514068)",0.3270453122868523,0.502798222480047,0.19475647253333012
"(10.325089733570481, 105.23164853608824)",0.36843753032987525,0.5172666869272549,0.20801017169449165
"(10.32327281825184, 105.26571569831123)",0.21950403683033387,0.39684367619471733,0.1354619903446603
"(10.31963898761456, 105.23074007842897)",0.3179837140357219,0.45494825405593137,0.19688024184107805
"(10.320547445273881, 105.22983162076967)",0.33850847631507064,0.46851823966515155,0.2077543533517066
"(10.32281858942218, 105.28115947851899)",0.16812321903584898,0.37109371422291015,-0.01559276391513015
"(10.321910131762861, 105.23028584959931)",0.349829262008401,0.47841353095839284,0.20219295011009147
"(10.324181275911162, 105.26071918118518)",0.23827854191598147,0.4632645397837935,0.0621345587225013
"(10.325089733570481, 105.26026495235556)",0.23807859340751547,0.45890089450799865,0.08463340486100443
"(10.325089733570481, 105.2448211721478)",0.3052085581880141,0.5113329908073301,0.19481585647941377
"(10.324181275911162, 105.24300425682924)",0.30003217447739017,0.5052359860802544,0.18037025711510102
"(10.32281858942218, 105.27570873256332)",0.2525013936399975,0.37116830992060024,0.1708059399482645
"(10.323727047081501, 105.28252216500792)",0.19297438767211691,0.3914009906014252,0.016413116091894234
"(10.31963898761456, 105.23937042619212)",0.3053194417363489,0.41798138343264096,0.17353796406896632
