Latitude and Longitude,ndvi_mean,ndvi_max,ndvi_min
"(10.323727047081501, 105.2516346045924)",0.5576252439523091,0.8562927796629967,0.08173095778645847
"(10.322364360592521, 105.27843410554115)",0.6217815481403459,0.8155752156657724,0.12408022985493918
"(10.321455902933202, 105.25254306225168)",0.570853917811386,0.8551888352384979,0.08004285049238177
"(10.324181275911162, 105.25118037576274)",0.5551042899469342,0.8569344164399493,0.0766935368718164
"(10.324635504740822, 105.27389181724476)",0.6196923228942021,0.8319704298888343,0.11254316276843747
"(10.323727047081501, 105.28070524968936)",0.6250471234894805,0.8149127489873484,0.12338109186960033
"(10.325089733570481, 105.23937042619212)",0.502853457799639,0.8546520590790512,0.07759932734576103
"(10.324181275911162, 105.25390574874059)",0.5539666277023255,0.8550896243965548,0.06839724867453927
"(10.321001674103542, 105.24436694331814)",0.5463766465441946,0.8574423386185981,0.08940373642179043
"(10.321001674103542, 105.2416415703403)",0.5297490442297161,0.863167714342027,0.09769368771683437
"(10.324635504740822, 105.25572266405916",0.5601770249088289,0.8684100894365718,0.07943294438495578
"(10.321001674103542, 105.2334654514068)",0.49751500727936515,0.8586327865677326,0.08542162027033826
"(10.32327281825184, 105.26753261362978)",0.5800311236463455,0.8391835666181364,0.08808741594802665
"(10.324181275911162, 105.28115947851899)",0.6298704499172498,0.8216708228049697,0.1194240743394489
"(10.321001674103542, 105.2598107235259)",0.550726666319555,0.8658626490238912,0.08644063723456831
"(10.32327281825184, 105.24073311268103)",0.521328655660593,0.8627019744558131,0.08896333125353938
"(10.324635504740822, 105.27843410554115)",0.6298758404530184,0.8210042123597535,0.118448911700596
"(10.324181275911162, 105.2348281378957)",0.4909244169100567,0.8465148049084184,0.08539084314145498
"(10.321455902933202, 105.23301122257715)",0.4960613020233675,0.8578395235155627,0.08174768573689375
"(10.323727047081501, 105.26026495235556)",0.5610399993496116,0.8620706181277464,0.08972273161187165
"(10.325089733570481, 105.28025102085971)",0.6267839423935897,0.8230470054989741,0.11384242019280395
"(10.32009321644422, 105.23210276491787)",0.49665631389513487,0.8583381287729018,0.07591151561812579
"(10.322364360592521, 105.27797987671151)",0.6221580552461563,0.8180750269619343,0.12228537587435793
"(10.32327281825184, 105.27752564788187)",0.6250875042189391,0.8225072315572187,0.12029708849524334
"(10.324635504740822, 105.2652614694816)",0.5691482733851014,0.8485384678571384,0.08596638865581269
"(10.320547445273881, 105.2266520189622)",0.4974645227643722,0.8531066414455377,0.0882402143888609
"(10.323727047081501, 105.2652614694816)",0.5651855737771038,0.848569743924874,0.08650787309776273
"(10.325089733570481, 105.23528236672536)",0.48668238065615604,0.8451079703902813,0.08167396153517607
"(10.324635504740822, 105.26798684245944)",0.5888569158036806,0.8409805249247088,0.08433087612380143
"(10.32281858942218, 105.26435301182232)",0.5621313397339196,0.8550162234070028,0.0830650477832054
"(10.325089733570481, 105.26344455416304)",0.5718092754461405,0.8550830413768297,0.08261110362074056
"(10.323727047081501, 105.24572962980707)",0.5398035149098114,0.850952782377108,0.07962600320724492
"(10.324635504740822, 105.2334654514068)",0.4893062828156937,0.8430649177584811,0.09114012189261222
"(10.325089733570481, 105.23164853608824)",0.4899334629388625,0.8406316980438818,0.08486242626089562
"(10.32327281825184, 105.26571569831123)",0.5663942845801185,0.8479627159219835,0.08550053276184488
"(10.31963898761456, 105.23074007842897)",0.49932072172390446,0.8598441265688662,0.07726472139433194
"(10.320547445273881, 105.22983162076967)",0.5004239499831724,0.8612914528031325,0.08522744013967724
"(10.32281858942218, 105.28115947851899)",0.6132235649526065,0.7995933901602286,0.1286942617985234
"(10.321910131762861, 105.23028584959931)",0.5002606512187884,0.858162811812089,0.08633176496361947
"(10.324181275911162, 105.26071918118518)",0.560677653832885,0.8595335540819777,0.08691810943468324
"(10.325089733570481, 105.26026495235556)",0.5635992659181492,0.862031548417939,0.0891401054463414
"(10.325089733570481, 105.2448211721478)",0.5313761779556834,0.8613445002354987,0.07106224077914085
"(10.324181275911162, 105.24300425682924)",0.5320981004406211,0.8675672592346292,0.08188140208142627
"(10.32281858942218, 105.27570873256332)",0.6207631863218436,0.8227840659984911,0.1270176986322053
"(10.323727047081501, 105.28252216500792)",0.6338002749209459,0.8203064191302764,0.13021182324597286
"(10.31963898761456, 105.23937042619212)",0.5148028511527207,0.8558558789312147,0.09825557597737074
"(10.32281858942218, 105.28161370734864)",0.61567707438995,0.8005487587123123,0.13235736873215417
"(10.324635504740822, 105.28161370734864)",0.6352833539810716,0.8264051351151955,0.1146908509105779
"(10.32327281825184, 105.26117341001483)",0.5584514565911253,0.8594942934226427,0.08314367868189672
"(10.32327281825184, 105.2788883343708)",0.6264459924310648,0.8183295343310393,0.12346436221827568
"(10.324181275911162, 105.2516346045924)",0.5539043689470966,0.8558673123815927,0.07973114139758503
"(10.323727047081501, 105.23982465502175)",0.5126729031461228,0.8566254955544199,0.08864128639941105
"(10.31963898761456, 105.23028584959931)",0.49979683418751153,0.8608579692313231,0.07875004021969705
"(10.32327281825184, 105.28706445330431)",0.5978561196337462,0.7609952965039235,0.1876058478596395
"(10.324181275911162, 105.27752564788187)",0.6285345802704192,0.8248618496876153,0.11869955052516362
"(10.323727047081501, 105.26480724065195)",0.5631035679363431,0.8500786426381723,0.08742594749676992
"(10.321910131762861, 105.2266520189622)",0.5052389647028449,0.8513458996822181,0.09409754081480215
"(10.324181275911162, 105.25072614693312)",0.5557348461062,0.8577601329734075,0.07704549561402119
"(10.32327281825184, 105.27071221543727)",0.5984435447487543,0.8333529169596056,0.10617923799539916
"(10.325089733570481, 105.25890226586662)",0.5618986855704363,0.8671338104547974,0.08913197579381843
"(10.321455902933202, 105.25208883342202)",0.5716155347388091,0.8548158221814324,0.08056999774739201
"(10.324635504740822, 105.26162763884446)",0.5632414249079063,0.8566533450325208,0.08172204868208092
"(10.325089733570481, 105.28751868213396)",0.5996586758055921,0.7895414448840357,0.16629145166088274
"(10.32009321644422, 105.24845500278491)",0.5683488353388323,0.8448848374140558,0.07943742230535633
"(10.324181275911162, 105.23982465502175)",0.5104525977489605,0.856318687118523,0.08558249939876193
"(10.31963898761456, 105.23891619736247)",0.5113777619010549,0.8570699358536225,0.09475725690697251
"(10.325089733570481, 105.26389878299267)",0.5720041724280284,0.8545920386852098,0.0836148555006283
"(10.321455902933202, 105.26117341001483)",0.5457974636524493,0.8581841066604065,0.08259682509183276
"(10.319184758784901, 105.22710624779182)",0.5002050490163644,0.8631624959342533,0.07552495026949035
"(10.321001674103542, 105.25254306225168)",0.5742536905852582,0.8550623113931146,0.07837449489973682
"(10.321455902933202, 105.23164853608824)",0.49486575352913015,0.8562826120294538,0.07905977712580718
"(10.324181275911162, 105.24936346044419)",0.552349187322378,0.8551557128925128,0.07322042282096587
"(10.324181275911162, 105.27979679203008)",0.6283676286980302,0.821292788517812,0.11867539256571608
"(10.324181275911162, 105.2598107235259)",0.5629379304377422,0.8641419713969559,0.09069416232584802
"(10.324181275911162, 105.28706445330431)",0.6103026992180063,0.7874991818878723,0.17243355230854113
"(10.32281858942218, 105.27934256320043)",0.6196619030843938,0.8119929139647403,0.12334990997939181
"(10.320547445273881, 105.22710624779182)",0.4997132539961374,0.8572662278616938,0.08596533537396982
"(10.32327281825184, 105.26162763884446)",0.5590138173787798,0.8584825089756785,0.0775351083873541
"(10.324635504740822, 105.25208883342202)",0.5482438785039329,0.8543643922868196,0.07708333617346654
"(10.321001674103542, 105.25027191810346)",0.5718513984636023,0.853526459537381,0.07783315927719238
"(10.318730529955241, 105.22756047662148)",0.5022917782493633,0.8666552011611077,0.07234408832180156
"(10.31963898761456, 105.23255699374752)",0.49699563476564973,0.8585462693227599,0.07548160955521929
"(10.323727047081501, 105.23800773970319)",0.4995592830587485,0.8530708722281387,0.08528821250992273
